id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
00030D96-12C2-4CED-8334-DF2B567A4A85	20211221	1	999000011000230102	999001261000000100	999013831000230112	900000000000548007
001196BD-1EA0-4EB6-AC9D-2B5515299A6A	20251211	1	999000011000230102	999001261000000100	999038481000230112	900000000000548007
00A8B5DD-DDD0-464D-A311-98C9FE606503	20211221	1	999000011000230102	999001261000000100	999018191000230111	900000000000548007
00D067F8-241A-4744-A9D9-D4B06EF106E2	20211221	1	999000011000230102	999001261000000100	999001551000230115	900000000000548007
00D574C0-3FA7-4757-A022-07BC498368F7	20211221	1	999000011000230102	999001261000000100	999012061000230119	900000000000548007
010D11CC-9874-4857-A879-6E4B313D5D10	20211221	1	999000011000230102	999001261000000100	999012221000230117	900000000000548007
010E83CE-C7B2-477D-B1B8-559BAF03A74A	20211221	1	999000011000230102	999001261000000100	999027221000230111	900000000000548007
011B8534-D3F7-4594-955F-CFABBBCE98B9	20211221	1	999000011000230102	999001261000000100	999025701000230118	900000000000548007
01223527-8F70-4D41-90C5-A86380590785	20211221	1	999000011000230102	999001261000000100	999014151000230114	900000000000548007
0139CB99-5AFC-4C45-B87B-16C3B6285FF3	20220817	1	999000011000230102	999001261000000100	999035631000230117	900000000000548007
017A105A-CDD8-483F-BCE7-80488464642A	20211221	1	999000011000230102	999001261000000100	999005181000230115	900000000000548007
018785AB-73FE-4F7A-85F3-0BCB8B2B277C	20211221	1	999000011000230102	999001261000000100	999011511000230116	900000000000548007
018CD621-8A9E-4408-9963-CB768001FE0F	20220722	1	999000011000230102	999001261000000100	999035071000230111	900000000000548007
01E79F68-F101-43F3-8D0E-A8B342757907	20211221	1	999000011000230102	999001261000000100	999017391000230110	900000000000548007
01FC5BB6-2739-4ADD-8170-44C27F673ADB	20231127	1	999000011000230102	999001261000000100	999036741000230110	900000000000548007
02004080-7738-413C-B0A7-12E01AC79DB2	20230309	1	999000011000230102	999001261000000100	999036361000230112	900000000000548007
0216535B-8AF5-427B-80A1-2A8D2639062D	20211221	1	999000011000230102	999001261000000100	999014541000230118	900000000000548007
022ADA57-64B9-43FE-8833-38F0CE5A95FC	20211221	1	999000011000230102	999001261000000100	999012951000230118	900000000000548007
025474D4-ECC1-4EE3-89E6-7A70319092C3	20211221	1	999000011000230102	999001261000000100	999030421000230114	900000000000548007
026AD9B1-5A39-479C-9A20-7EE4B6A17964	20211221	1	999000011000230102	999001261000000100	999005061000230113	900000000000548007
02B19269-9BE5-4610-AA5C-2758979CB487	20211221	1	999000011000230102	999001261000000100	999030831000230114	900000000000548007
02BF7AE9-E960-433D-8E5D-6EA90B2C5D50	20220722	1	999000011000230102	999001261000000100	999034141000230118	900000000000548007
02C80EFE-2346-4D5B-ACC6-4FF7FD8F3EB0	20211221	1	999000011000230102	999001261000000100	999008991000230111	900000000000548007
032D2967-D8C0-4E15-99F8-8DB97CC1524A	20211221	1	999000011000230102	999001261000000100	999026751000230110	900000000000548007
032F92A7-6D44-47DC-BC4A-CBD24EB4C2BA	20211221	1	999000011000230102	999001261000000100	999027581000230114	900000000000548007
03515A90-79F0-4607-8333-E9CBEBABA5D0	20211221	1	999000011000230102	999001261000000100	999024991000230112	900000000000548007
0374BC7F-2B72-4A4F-A79F-80301359D76F	20211221	1	999000011000230102	999001261000000100	999017791000230111	900000000000548007
037FC675-EA1F-48EC-8C02-F41CA7EAEF22	20211221	1	999000011000230102	999001261000000100	999022701000230110	900000000000548007
03830027-B41D-4887-85B7-8D168F25DA3D	20211221	1	999000011000230102	999001261000000100	999016301000230116	900000000000548007
038D9A0C-5825-468D-99D0-D57BB4D34289	20211221	1	999000011000230102	999001261000000100	999023071000230114	900000000000548007
038F3906-8A28-4744-B786-CFAE548E1337	20220722	1	999000011000230102	999001261000000100	999032471000230112	900000000000548007
0395392B-9DA2-45F1-8CA0-D7DBAFC06354	20211221	1	999000011000230102	999001261000000100	999008541000230112	900000000000548007
03BC2A00-981C-4119-9F2F-001ACD424C64	20211221	1	999000011000230102	999001261000000100	999020981000230118	900000000000548007
03C22C12-9202-4C0F-8795-4B1947B685D0	20211221	1	999000011000230102	999001261000000100	999017061000230117	900000000000548007
03D95F5B-246A-445B-8532-DDA60285B762	20211221	1	999000011000230102	999001261000000100	999030031000230116	900000000000548007
03DF3C86-DA63-4B74-8072-7F0E2C39304F	20211221	1	999000011000230102	999001261000000100	999025751000230117	900000000000548007
03E2883B-8ED0-4F48-951B-02E23E58D3D9	20211221	1	999000011000230102	999001261000000100	999016661000230113	900000000000548007
040FAFDE-1DE8-41E0-9B7A-730B068502BF	20211221	1	999000011000230102	999001261000000100	999029541000230112	900000000000548007
0424E2B1-BE73-4496-99A5-FAA019123175	20211221	1	999000011000230102	999001261000000100	999008221000230117	900000000000548007
0426578C-0372-456B-8DD0-A906A63AE8FF	20211221	1	999000011000230102	999001261000000100	999003231000230111	900000000000548007
044E2B5B-A677-4549-9285-6998139646D4	20211221	1	999000011000230102	999001261000000100	999017711000230117	900000000000548007
04820930-1FA0-41FC-AF8C-A363783DA9F7	20251211	1	999000011000230102	999001261000000100	999037891000230111	900000000000548007
04A22A0E-8C4F-4F4E-B551-686D1789E2D1	20251211	1	999000011000230102	999001261000000100	999038051000230110	900000000000548007
0537C241-9FB8-4830-9067-230B7D0A75C2	20211221	1	999000011000230102	999001261000000100	999003431000230112	900000000000548007
05541319-8421-4842-9089-D3963C5F4D55	20241205	1	999000011000230102	999001261000000100	999037111000230111	900000000000548007
059C29B2-CD6D-4F2A-9CAF-29370A3059F8	20211221	1	999000011000230102	999001261000000100	999027701000230112	900000000000548007
05AB2254-6BB4-4568-B5B2-A8812CD9BC87	20211221	1	999000011000230102	999001261000000100	999009861000230118	900000000000548007
062BD9D2-92D5-4A5D-B7E4-1A2ECE5A9505	20211221	1	999000011000230102	999001261000000100	999008581000230119	900000000000548007
06446AA9-EB76-47E2-8C87-C0EAB8C727DC	20211221	1	999000011000230102	999001261000000100	999022341000230114	900000000000548007
06872876-9584-4D1E-89B9-8E39A90A5463	20230518	1	999000011000230102	999001261000000100	999036531000230110	900000000000548007
06CD75C8-9233-48B4-AD21-455AE48FF575	20251211	1	999000011000230102	999001261000000100	999038471000230110	900000000000548007
073CFE7C-2BDE-41EA-BA1F-2A6AE0D6BFBF	20211221	1	999000011000230102	999001261000000100	999001461000230116	900000000000548007
074A7119-50CC-4005-94F7-82439C9312A0	20211221	1	999000011000230102	999001261000000100	999005461000230118	900000000000548007
074F914C-8EC4-4CAD-B645-5F23B12F0E4C	20211221	1	999000011000230102	999001261000000100	999026021000230118	900000000000548007
07A7CA7A-7030-4E01-B78C-45DA587F254A	20211221	1	999000011000230102	999001261000000100	999002431000230117	900000000000548007
07B50C51-B0CE-45F5-810C-0F2D3C209524	20211221	1	999000011000230102	999001261000000100	999018751000230117	900000000000548007
07C124C3-4A87-4913-9B9D-B1105A05A12B	20220722	1	999000011000230102	999001261000000100	999034871000230118	900000000000548007
07CB5852-AEAD-4E4B-8765-AF4F1B533721	20211221	1	999000011000230102	999001261000000100	999023501000230112	900000000000548007
0841E0CB-D5DD-4731-814E-102506AA6CAE	20211221	1	999000011000230102	999001261000000100	999011951000230114	900000000000548007
084CC664-2357-4526-8CB7-0ED910CB0D0C	20211221	1	999000011000230102	999001261000000100	999016511000230112	900000000000548007
088EBF24-54FE-4483-B987-3A85520BBF5D	20230718	1	999000011000230102	999001261000000100	999036651000230119	900000000000548007
08A8D4F1-8D76-4883-BEB0-AEF5DFA3434C	20220722	1	999000011000230102	999001261000000100	999033381000230111	900000000000548007
08C7821A-00F6-491A-8740-0B0814ADF220	20220722	1	999000011000230102	999001261000000100	999033181000230113	900000000000548007
08CCDC68-9C4A-4F3C-A43D-93C38FB078D7	20211221	1	999000011000230102	999001261000000100	999015871000230110	900000000000548007
08F48279-603E-433E-B129-6134025A5CF1	20230518	1	999000011000230102	999001261000000100	999036551000230118	900000000000548007
095B3C2F-8F4D-4C0C-B9BA-A043E9106040	20211221	1	999000011000230102	999001261000000100	999015671000230114	900000000000548007
0971EB5F-E1FD-4461-8D31-136F26E15621	20211221	1	999000011000230102	999001261000000100	999027071000230117	900000000000548007
098F579C-BB04-4937-BD95-B16E93C7F26F	20230130	1	999000011000230102	999001261000000100	999036151000230112	900000000000548007
09A2F7DF-E0E5-4D4A-B7EF-BDBD45DB53F7	20220722	1	999000011000230102	999001261000000100	999032511000230118	900000000000548007
